연도,유형,문항번호,질문,지문,보기,선택지,label
2017,논쟁/반론,1,다음 글에 대한 평가로 옳지 않은 것은?,"X국 헌법에 따르면 정당의 목적이나 활동이 민주적 기본질서 에 위배될 때, 정부는 헌법재판소에 그 해산을 제소할 수 있고, 정당은 헌법재판소의 심판에 의하여 해산된다. 이는 정당존립의 특권을 보장하기 위해, 법령으로 해산되는 일반 결사와는 달리 헌법재판소의 판단으로 해산 여부가 결정되도록 한 것이다. 강제 해산의 대상이 되는 정당은 정당으로서의 등록을 완료한 기성 (既成) 정당에 한한다. 정당이 설립한 연구소와 같은 방계조직 등은 일반 결사에 속할 뿐이다. 그런데 중앙선거관리위원회에 창 당신고를 하였으나 아직 정당으로서 등록을 완료하지 않은 창당 준비위원회를 기성 정당과 동일하게 볼 수 있는지에 대하여 견해가 대립한다. 
A: 창당준비위원회는 정치적 목적을 가진 일반 결사일 뿐이다. 그 해산 여부는 정당 해산의 헌법상 사유와 절차가 요구되지 않고 일반 결사의 해산 방식으로 결정해야 한다. 
B: 창당준비위원회는 정당에 준하는 것이다. 그 해산 여부는 기성 정당과 같이 헌법상의 사유와 절차가 요구된다. 
C: 정당설립의 실질적 요건을 기준으로, 아직 이를 갖추지 못한 창당준비위원회는 일반 결사와 동일하게 보고, 이미 이를 완비 하였지만 현재 등록절차를 진행하고 있는 창당준비위원회는 정당에 준하는 것으로 보아야 한다.",,"① 창당준비위원회는 등록기간 안에 등록신청을 하지 아니하면 X국 '정당법'에 따라 특별한 절차 없이 자동 소멸된다는 주장이 옳다면, 이는 A의 설득력을 높인다.
② 집권 여당과 정부가 그 목적이나 활동이 민주적 기본질서에 반하지 않는 반대당의 성립을 등록 이전에 손쉽게 봉쇄할 수 있다는 주장이 옳다면, 이는 A의 설득력을 낮춘다.
③ 창당준비위원회는 앞으로 설립될 정당의 주요 당헌과 당규를 실질적으로 입안한다는 주장이 옳다면, 이는 B의 설득력을 높인다.
④ 정당설립의 실질적 요건을 갖춘 창당준비위원회에게 정당등록은 지극히 통과의례의 과정이라는 주장이 옳다면, 이는 C의 설득력을 낮춘다.
⑤ 정당설립의 실질적 요건을 강화할수록 C는 A와 비슷한 결론을 내릴 것이다.","4
"
2017,법규범,2,다음 글로부터 추론할 수 있는 A국 법원의 입장으로 옳은 것은?,"1940년대 말 이후부터 A국은 제2차 세계대전의 패배에 따른 여러 가지 법적 청산 작업을 진행하였다. 이때 나치 체제에 협력 하였던 나치주의자들은 형사상 책임을 졌을 뿐만 아니라 회사로부터도 해고되었다. 더 나아가 당시에는 회사의 사용자가 나치 체제에 동조한 '혐의'가 있는 근로자에 대하여도 해고하는 일이 자주 있었고, 이러한 해고의 유효 여부의 다툼에서 A국 법원은 혐의가 있다는 것만으로도 해고의 정당한 이유가 있다고 보았다. 그런데 당시 A국 Y사의 기능공이었던 갑은 1951년 3월 나치 체 제에 동조한 사실이 있다는 혐의로 A국 검찰에 소환 조사를 받고 형사재판을 기다리고 있었는데, 이러한 일이 발생하자 Y사의 사용자 을은 갑에게 해고 통고를 하였다. 갑이 이 해고의 무효를 주장하였지만 A국 법원은 1951년 12월 을의 해고는 정당한 이 유 있는 해고라고 판시하였다. 그런데 그 후 1954년 갑은 나치 체제에 동조한 사실이 없었던 것으로 최종 밝혀졌다. 이에 갑은 1955년 법원을 상대로 자신의 해고가 잘못된 것임을 주장하면서 해고 무효를 구했으나, 법원은 당시 해고가 무효는 아니라고 했 다. 근로 계약의 양 당사자에게 중요한 것은 '신뢰'로서 사용자가 근로자에 대하여 인간적 신뢰를 잃게 되면 근로 관계를 지속하게 하는 것을 기대할 수 없기 때문이라는 것이 그 이유이다. 하지만 갑의 사정을 고려하여 특이한 청구권을 갑에게 인정하는 판결을 내렸다. 즉, 갑에게 Y사 사용자 을로 하여금 자신을 신규로 고용해 줄 것을 요구할 수 있는 청구권을 인정하였던 것이다. 그리고 이러한 청구권을 행사할 경우, 을은 갑을 고용할 의무가 발생한다고 판결하였다.",,"① 갑의 해고 결정은 무죄 판결에 의해 소급적으로 소멸한다.
② 갑의 해고에 대한 정당성의 판단 기준 시점은 해고 통고 시이다.
③ 해고의 정당한 사유나 원인이 없는 경우라도 갑의 해고는 적법하다.
④ 해고와 달리 갑의 신규 고용 여부를 정당화하는 사유에서는 신뢰 관계가 고려되지 않는다.
⑤ 무죄 추정의 원칙에 따라 갑에게 범죄 혐의가 있다는 사실만 가지 고는 근로 관계 지속을 위한 신뢰가 깨진다고 볼 수 없다.","2
"
2017,법규범,3,다음 글로부터 추론한 것으로 옳은 것은?,"친자 관계는 자연적 출산 또는 입양에 의해 성립한다. 이에 따를 경우 보조 생식 의료를 통해 태어난 아이는 누구의 아이 인가? '보조 생식 의료'라 함은 시험관 아기 시술, 배아이식 및 인공 수정을 가능하게 하는 임상적 · 생물학적 시술 및 이와 동일한 효과를 갖는 시술로, 자연적 과정 외의 생식을 가능하게 하는 모든 의료 기술을 말한다. 
A국에서는 자신의 체내에 생식세포가 주입되거나 배아가 이식된 결과 아이를 출산하면 출산한 여성이 아이의 모(母)로 확 정된다. 그리고 부(父)의 결정에 있어 가장 중요한 요건은 보조 생식 의료에 동의하였는지 여부인데, 법이 정한 동의의 요건만 갖추면 자녀와의 혈연 관계와 여성과의 혼인 관계라는 요건이 없어도 법적 부의 지위가 인정된다. 더구나 남성뿐만 아니라 여 성이라도 이 동의라는 요건만 갖추면 혼인 여부와 상관없이 부가 될 수 있다. 한편 대리모 계약을 금지하고 있지는 않지만 그 계약을 강제 이행할 수는 없는 것으로 하고 있다. 
B국에서는 보조 생식 의료에 있어서 ""사람은 생식 가능한 남녀 로부터 태어난다.""라고 하는 자연적 섭리를 중시한다. 따라서 보조 생식이 행해질 수 있는 경우는 '질병의 치료'라고 하는 목적에 의해 제한된다. B국에서 난자 또는 정자를 제3자로부터 받는 등 보조 생식 의료를 행하기 위해서는 남녀 모두 자연적으로 생식 가능하다고 간주되는 연령에 있고, 혼인 관계에 있어야 한다. 또한 시술 시점에 의뢰한 남녀가 함께 생존하고 시술에 동의해야 한다. 출산한 사람만이 모로 되고 이 여성과의 혼인 관계에 따라 부가 확정된다. B국에서는 대리모 계약을 선량한 풍속에 반한다 고 하여 무효로 하고 있다.",,"① A국에서는 여성도 다른 여성의 보조 생식 의료에 동의할 경우 그 출산한 여성과 부부로 인정된다.
② A국에서 대리모에게 난자를 제공한 의뢰인이 모가 되기 위해서는 그 출생한 자를 입양하는 방법밖에 없다.
③ B국에서는 자연적으로 생식이 불가능한 모든 자가 보조 생식 의료를 통해 합법적으로 자녀를 가질 수 있게 되었다.
④ B국에서 아이를 갖기 위한 여성이 남편의 동의를 얻어 보조 생식 의료를 통해 다른 남성의 정자를 제공받아 출산하면 그 아이의 부는 정자를 제공한 자이다.
⑤ A국과 B국 모두 '제3자를 위해 출산을 하는 계약은 무효'라는 내용의 법규정을 가지고 있다.","2
"
2017,논쟁/반론,4,갑과 을의 주장에 대한 판단으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"갑 : 범죄의 불법성을 판단하는 척도가 범죄를 행하는 자의 의사에 있다고 믿는 것은 잘못이다. 범죄의 의사는 사람마다 다르고 심지어 한 사람에 있어서도 그 사상, 감정, 상황의 변화에 따라 시시각각 달라질 수 있기 때문이다. 범죄의 척도를 의사에서 찾는다면 개인 의사의 경중에 따른 별도의 법을 만들어야 할 것이다. 따라서 처벌은 의사가 아닌 손해의 경중을 기준으로 차등을 두어야 한다. 
을: 갑은 범죄자의 '의사'를 객관화할 수 없다고 전제하고 있다. 그러나 범죄자의 '의사'를 몇 가지 기준에 의해서 유형화한다면 의사 자체의 경중도 판단할 수 있다. 우선, 의도한 범죄의 경중을 기준으로 삼는 경우, 더 중한 결과를 발생시키는 범죄를 행하려는 의사가 더 경한 결과를 발생시키는 범죄를 행하려는 의사보다 중하다. 다음으로 의욕의 정도를 기준으로 삼는 경우, 결과 발생을 의도한 범죄자의 의사가 결과 발생을 의도하지 않고 단지 부주의로 손해를 발생시킨 범죄자의 의사보다 중하다. 따라서 처벌은 손해뿐만 아니라 범죄자의 의사의 경중 또한 고려하여 차등을 두어야 한다.","<보 기>
ㄱ. 살인의 의사를 가지고 가격하였으나 상해의 결과가 발생한 경우와 폭행의 의사를 가지고 가격하였으나 사망의 결과가 발생한 경우를 동일하게 처벌한 법원의 태도는 갑의 주장에 부합한다. 
ㄴ. 강도의 의사로 행위를 하였으나 강도는 실패하고 중상해의 결과를 발생시킨 경우와 살인의 의사로 행위를 하였으나 역시 중상해의 결과를 초래한 경우에 있어서 전자를 중하게 처벌한 법원의 태도는 갑과 을의 주장 모두에 부합하지 않는다. 
ㄷ. 살인의 의사가 있었으나 그 행위에 나아가지 않은 경우와 부주의로 사람을 다치게 한 경우에 있어서 전자를 처벌하지 않고 후자만 처벌한 법원의 태도는 갑과 을의 주장 모두에 부합한다.","①ㄱ ②ㄷ ③ㄱ, ㄴ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ, ㄷ
"
2017,논쟁/반론,5,다음 글에 대한 평가로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"K국 형법은 ""미성년자를 약취한 사람은 10년 이하의 징역에 처한다.""라고 하여 '미성년자약취죄'를 규정하고 있다. 이 규정에서 '약취'라고 하는 것은 폭행 + 협박을 행사하거나 정당한 권한 없이 사실상의 힘을 사용하여 미성년자를 생활관계 또는 보호관계로부터 약취행위자나 제3자의 지배하에 옮기는 행위를 의미한다. 그런데 '정당한 권한 없이 사실상의 힘을 사용하여'의 해석에 관해서는 아래와 같이 견해가 나뉜다. 
<견해 1> 미성년자약취죄가 보호하고자 하는 법익은 미성년자의 평온 · 안전이다. 따라서 미성년자의 평온 · 안전을 해치지 않는 한 부모 일방이 다른 일방의 동의 없이 미성년자의 거소를 옮기는 행위만으로는 정당한 권한 없이 사실상의 힘을 사용한 것에 해당하지 않는다. 
<견해 2> 미성년자약취죄가 보호하고자 하는 법익은 미성년자의 자유와 보호자의 보호 · 양육권이다. 따라서 부모 일방이 다른 일방의 동의 없이 미성년자의 거소를 옮기는 행위는 정당한 권한 없이 사실상의 힘을 사용한 것에 해당한다.","<보 기>
ㄱ. 부모가 이혼하였거나 별거하는 상황에서 미성년의 자녀를 부모의 일방이 평온하게 보호 · 양육하고 있는데, 부모 중 다른 일방이 폭행 · 협박을 행사하여 그 보호 · 양육 상태를 깨뜨리고 자녀를 탈취하여 자기 또는 제3자의 사실상 지배하에 옮긴 경우라면, 위의 어떠한 견해에 따르더라도 미성년자 약취죄에 해당한다. 
ㄴ. 부모가 함께 동거하면서 미성년의 자녀를 보호 · 양육하여 오던 중 부(父)가 모(母)나 그 자녀에게 어떠한 폭행 · 협박을 행사하지 않고 그 자녀를 데리고 종전의 거소를 벗어나 다른 곳으로 옮겨 자녀에 대한 보호 · 양육을 적절히 한 경우, <견해 1>에 따르면 미성년자약취죄에 해당하지 않는다. 
ㄷ. 보호 · 양육하던 미성년자를 종전에 거주하던 K국 거주지에 서부의 동의 없이 모가 국외로 이전하는 행위로 인해, K국 국적을 가진 자녀가 생활환경 등이 전혀 다른 외국에서 부의 보호 · 양육이 배제된 채 정신적 · 심리적 충격을 겪는 경우, <견해 1>에 따르면 미성년자약취죄에 해당하지 않지만 <견해 2>에 따르면 미성년자약취죄에 해당한다.","①ㄱ ②ㄷ ③ㄱ, ㄴ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄴ
"
2017,논증평가,6,"고대 국가 R의 상속법 <원칙>에 근거해서 <판단>을 평가할 때, 옳은 것만을 <보기>에서 있는 대로 고른 것은?","<원칙> 
상속은 가장의 유언에 따라야 한다. 유언으로 정한 대로 상속이 이루어질 수 없으면, 법이 정한 방법에 따라 상속이 이루어져야 한다. 법정상속은 직계비속이 균분으로, 직계비속이 없을 경우 직계존속이 균분으로, 직계존속이 없으면 배우자의 순으로 이루어진다. 태아는 상속인의 지위를 갖는다. 가장은 배우자 및 직계비속 중 상속인에서 제외하려는 자가 있을 경우 반드시 유언으로 그를 지정해야 한다. 만약 상속인으로 지정되지도 제외되 지도 않은 직계비속이 있을 경우 가장의 유언은 무효이다. 상속인의 지위를 상실하게 할 수 있는 조건을 부가하여 상속인을 지정한 가장의 유언은 무효이다. 
<판단> 아직 자녀가 없는 가장 A는 아내가 임신한 상태에서 ""태아와 아내만을 상속인으로 지정한다. 만약 아들이 태어나면, 그가 내 재산의 2/3를 상속받고 나머지는 내 아내가 상속받는다. 그러나 만약 아들이 아니라 딸이 태어나면, 그녀가 내 재산의 1/3을 상속받고 나머지는 아내가 상속받는다.""와 같은 유언을 남기고 사망하였다. 그런데 아내는 A의 예상과 달리 아들 1명과 딸 1명의 쌍둥이를 출산하였다. 이에 대해 법률가 X는 ""유언자의 의사에 따라 유산을 7등분하여 아들이 4, 아내가 2, 딸이 1을 갖도록 하는 것이 올바르다.""고 판단하였다.","<보 기>
ㄱ. X는 ""아들과 딸은 각각 1/2씩 상속을 받아야 하며 아내는 상속을 받을 수 없다.""고 판단해야 했다. 
ㄴ. X는 ""'만약 ......이 태어나면'이라는 조건을 부가하여 상속인 을 지정하고 있기 때문에 A의 유언은 처음부터 무효이다. ""고 판단해야 했다. 
ㄷ. X는 ""A가 아들 또는 딸이 출생하는 경우에 대하여 유언을 한 것이지 아들과 딸이 동시에 출생하는 경우에 대하여 한 것은 아니었다.""고 판단해야 했다.","①ㄴ ②ㄷ ③ㄱ, ㄴ
④ㄱ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄷ
"
2017,논쟁/반론,7,19세기 X국의 저작권법 개정 논쟁에 대한 평가로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"A: 지금까지 작가와 출판가는 작품을 적은 부수만 출간하여 일반 대중의 1개월분 급여 정도의 높은 가격으로 판매해 왔다. 이 때문에 일반 대중은 뛰어난 작품들을 접하기 어려웠다. 이러한 문제는 작가에게 수십 년 동안 독점적 출판권을 부여 하는 현행 저작권법에 의해 비롯되었다. 국가는 새로운 작품의 공급이 감소되지 않도록 작가에게 창작의 유인책을 줄 필요가 있지만, 그것은 창작 비용을 회수할 수 있을 정도에 그쳐야 한다. 현재 작가는 최초 출판 후 1년 내에 창작 비용을 충분히 회수할 수 있다. 저작권법은 독점적 출판권을 1년으로 제한하고, 그 이후에는 모든 출판가들이 소매가의 5%를 로열티로 작가에게 지불하고 자유롭게 출판할 수 있도록 개정되어야 한다. 대중도 저렴한 가격으로 뛰어난 작품을 접할 수 있을 것이다. 사실 독점적 권리는 희소한 재화에 대해서만 인정되는 권리다. 일단 출간된 작품은 인쇄비용 문제를 제외하면 무한정 출판될 수 있다. 아무리 소비해도 줄지 않는 재화는 모든 사람이 자유롭게 향유해야 한다. 
B: 고급작품은 고상한 학문과 예술을 다루지만, 저급작품은 선 정적 내용만 다룬다. 책 가격이 떨어져도 대중이 고급작품을 구매하려 할 것인가? 그들은 교육을 받지 않았기에 선정적 작품만을 읽으려 한다. 반면 고급작품을 높게 평가하는 교양 인은 아무리 책 가격이 높더라도 구매하려 한다. 작가는 자신의 책을 높은 가격에 판매함으로써 합당한 대우를 받을 자격이 있다. 즉, 그는 자신이 원하는 방식과 기간으로 출판 조건을 결정하고, 이 조건에 부합하는 출판사와 자유롭게 계약을 체결할 자연적 권리를 가진다. 국가는 작가의 이러한 자연적 권리를 보호해야 할 의무가 있다.","<보 기>
ㄱ. 작가마다 작품을 창작하는 데 들인 비용은 천차만별이어서 국가가 작가의 창작 비용 회수기간을 일률적으로 정할 수 없다는 주장이 옳다면, 이는 A의 설득력을 낮춘다.
ㄴ. 특정한 원인에 의해 재화의 공급이 제한될 경우, 그 재화에 대한 독점적 권리를 인정할 수 있다는 주장이 옳다면, 이는 A의 설득력을 낮춘다. 
ㄷ. 계약을 누구와 어떻게 체결할 것인지는 당사자가 결정해야 한다는 주장이 옳다면, 이는 B의 설득력을 낮춘다.","①ㄱ ②ㄷ ③ㄱ, ㄴ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ
"
2017,법규범,8,<사실 관계>의 (가)와 (나)에 들어갈 방법으로 옳은 것은?,"채무자가 채무를 이행할 수 있는데도 하지 않을 경우, 채권자 가 직접 돈을 뺏어오거나 할 수 없고 법원에 신청하여 강제적으로 채무를 이행하게 할 수밖에 없다. 이렇게 강제로 이행하게 하는 방법은 상황에 따라 다른데, K국에서 법으로 인정하고 있는 방법은 세 가지이다. 'A방법'은 채무자가 어떤 행위를 하여야 하는데 하지 않는 경우, 채무자의 비용으로 채권자 또는 제3자에게 하도록 하여 채권의 내용을 실현하는 방법이다. 'B방법'은 목적 물을 채무자로부터 빼앗아 채권자에게 주거나 채무자의 재산을 경매하여 그 대금을 채권자에게 주는 것과 같이, 국가 기관이 직접 실력을 행사해서 채권의 내용을 실현하는 방법이다. 이 방법은 금전 · 물건 등을 주어야 하는 채무에서 인정되며, 어떤 행위를 해야 하는 채무에 대하여는 인정되지 않는다. 'C방법'은 채무 자만이 채무를 이행할 수 있는데 하지 않을 경우에 손해배상을 명하거나 벌금을 과하는 등의 수단을 써서 채무자를 심리적으로 압박하여 채무를 강제로 이행하도록 만드는 방법이다. 'C방법'은 채무자를 강제하여 자유의사에 반하는 결과에 이르게 하는 것이 므로 다른 강제 수단이 없는 경우에 인정되는 최후의 수단이다. 
<사실 관계> 
 - K국은 통신회사가 X회사 하나였는데 최근 통신서비스 시장 개방에 따라 다수의 다른 통신회사가 설립되어 공급을 개시하였다. 
 - K국의 X회사는 소비자 Y에게 계약에 따라 통신서비스를 제 공할 의무가 있는데 요금 인상을 주장하며 이행하지 않았다. Y가 X회사의 강제 이행을 실현할 수 있는 방법은 통신서비스 시장 개방 전에는 (가) 방법, 시장 개방 후에는 (나) 방법이다.",,"① (가): A, (나): C
② (가): B, (나): A
③ (가): B, (나): B
④ (가): C, (나): A
⑤ (가): C, (나): C","4
"
2017,법규범,9,다음 글로부터 추론한 것으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"A국은 각 지방자치단체에 대한 재정적 지원제도인 교부금제 도를 시행하고 있다. 각 지방자치단체의 수입은 국가로부터의 교부금과 지방자치단체의 자체수입금으로 구성된다. 국가는 지방자치단체가 제출한 자체수입예상액과 지출예상액을 고려하여 국가가 판단한 총지출규모를 수립한 후 필요한 교부금을 지급한다. A국은 아래의 교부금 중 하나를 선택하여 모든 지방자치단체에 지급할 수 있다.
- 동액교부금: 모든 지방자치단체에 대해 획일적으로 동일한 금액이 지급되는 교부금 
- 동률교부금: 각 지방자치단체의 자체수입금에 비례하는 금액 이 지급되는 교부금 
- 보통교부금: 각 지방자치단체의 자체수입금이 국가가 수립한 총지출규모를 충당하지 못하는 경우 국가가 그 재정부족분만 큼 지급하는 교부금. 다만 자체수입금이 풍부하여 재정부족분 이 발생하지 않는 지방자치단체에 대해서는 보통교부금이 지 급되지 않음(이를 '불교부단체'라 함).","<보 기>
ㄱ. A국이 보통교부금을 지급할 경우, 불교부단체를 제외한 모 든 지방자치단체는 자체수입금 증대를 위한 최대의 재정적 노력을 기울일 것이다. 
ㄴ. 국가가 수립한 각 지방자치단체의 총지출규모가 동일한 상황에서 재정부족분이 많이 발생하는 지방자치단체(갑)와 상대적으로 적게 발생하는 지방자치단체(을)가 있다면, 보통교 부금을 지급받을 때에는 갑이 을에 비해, 동률교부금을 지급 받을 때에는 을이 갑에 비해 언제나 많이 받는다. 
ㄷ. 국가가 수립한 각 지방자치단체의 총지출규모가 같고 각 지방자치단체의 자체수입금액이 같다면, 어떠한 교부금에 의하더라도 각 지방자치단체가 지급받는 교부금의 액수는 동일 하다.","①ㄱ ②ㄷ ③ㄱ, ㄴ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ, ㄷ
"
2017,논쟁/반론,10,다음 논쟁에 대한 분석으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"남성 우월주의를 표방하는 단체에 소속된 회원 백여 명이 도심에 모여 나체로 행진하는 시위를 하겠다는 계획을 밝혔다. 이를 두고 다음과 같은 논쟁이 벌어졌다. 
갑: 다른 사람에게 직접적인 물리적 위해를 줄 것이 분명히 예상되는 경우를 제외한다면, 어떤 행위도 할 수 있는 권리가 보장되어야 해. 자신의 의사를 밝히는 행위 자체가 다른 사람에게 물리적 위해를 준다고는 볼 수 없지. 
을 : 그렇다면 예를 들어 인종차별을 옹호하는 단체가 시위를 하겠다는 것도 허용해야 할까? 공동체 구성원의 다수가 비도덕적이라고 여기는 가치를 떠받드는 행위를 금지하는 것은 당연해.
병 : 인종차별이 정당하다고 주장하면서 시위를 하면 많은 사람 들로부터 공격을 받기 쉽지 않을까? 
갑: 그런 경우라면 시위자를 공격하는 사람의 행위를 막아야지, 시위 자체를 막아서는 안 되지.
을: 물리적 충돌이 생기는 건 불행한 일이지만 문제의 핵심은 아니야. 왜 그런 일이 생겨나겠어? 결국 대다수 사람들이 보 기에 비도덕적인 견해를 공공연하게 지지하니까 직접적인 물리적 위해를 서로 주고받게 되는 거지. 
병 : 직접적인 물리적 위해가 중요한 게 아니란 점에는 동의해. 하지만 내가 보기에 한 사람의 행동이 다른 사람들에게 불 쾌하게 받아들여지는지가 중요하지. 그들의 주장이 옳다 해도 이 시위를 막아야 하는 것은 그 행위가 충분히 불쾌하게 받아들여지기 때문이야. 만약 사람들의 눈에 잘 띄지 않는 장소와 시간에 시위를 한다면 다른 이야기가 되겠지.","<보 기>
ㄱ. 시위대가 시민들로부터 물리적 위해를 받을 가능성이 시위 허용 여부를 결정하는 데 중요한 요소인지에 대해서 갑과 을 은 의견을 달리한다. 
ㄴ. 시위대의 주장이 대다수 시민의 윤리적 판단에 부합하는지 가 시위 허용 여부를 결정하는 데 중요한 요소인지에 대해서 을과 병은 의견을 달리한다. 
ㄷ. 나체 시위를 불쾌하게 여길 사람이 시위를 회피할 수 있을 가능성이 시위 허용 여부를 결정하는 데 중요한 요소인지에 대해서 갑과 병은 의견을 달리한다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ, ㄷ
"
