question,answer1,answer2,answer3,answer4,answer5,solution
"Please indicate whether the following statements are correct:
i. As a rule, an appeal against a decision of a Cantonal Administrative Court must be filed to the Swiss Federal Administrative Court. The appeal may be lodged to the Swiss Federal Supreme Court only in a second step.
ii. When considering an appeal against a decision of a Cantonal Administrative Court, the Swiss Federal Supreme Court does, in principle, not review whether the Cantonal Administrative Court correctly interpreted cantonal law.
iii. In general, there are no legal remedies on the federal level against decisions of Cantonal Administrative Courts.
iv. The possibility of an appeal to a Cantonal Administrative Court is sufficient to meet the requirements of the guarantee of access to the courts (Article 29a Federal Constitution) even if this Court does not review questions of administrative discretion.","i, ii, and iii",ii and iv,iii,ii and iii,,2
"Justice is regarded as a central purpose of the law. There has been a rich and intensive cross-cultural debate about justice since antiquity. Please indicate whether the following statements about the theory of justice are correct:
i. According to the much criticised principle of proportional equality, grading the worst exam with the best score is just.
ii. Since antiquity, justice has been identified with equality.
iii. The principle of proportional equality helps explain why inequality of results can be just.
iv. In the contemporary theory of justice (for example Rawls’ theory), liberty – rather than equality – is the guiding principle.
v. A central element of the theory of justice of Socrates, Plato and Aristotle is the concept that justice is a matter of insight, not of subjective opinion.",iii and v,"ii, iii, and v","i, ii, and iv","ii, iii, and iv",,2
"Which of the following statements is/are incorrect?
i. In Switzerland, it is possible to enforce a money debt without obtaining a court judgment if the debtor does not object to an order for payment issued in enforcement proceedings.
ii. Penalties and measures can never be combined according to the Swiss Criminal Code.
iii. The party suffering from a fundamental error must notify the other party of his or her defect in consent within one year since the defect has been discovered, otherwise the contract is deemed to have been ratified.",iii,i and ii,ii,ii and iii,,1
"Please indicate whether the following statements are correct.

 Swiss administrative law cases are found …:
i. ... only where federal law is applied.
ii. ... only where cantonal law is applied.
iii. ... before the Federal Administrative Court.
iv. ... before the Swiss Supreme Court.","i, ii, and iv",iii and iv,none of the statements,iii,,2
"Human rights are of foundational importance for the current civilisation of law. Please indicate whether the following statements about human rights are correct:
i. Agency, personhood, needs or capabilities play no role in current human rights theory.
ii. Human rights can only be based on religious faith. There is consequently no point of methodological secularism.
iii. According to Kant’s principle of humanity, human trafficking can be justified.
iv. Normative principles like justice and solidarity are regarded as key building blocks in contemporary justifications of human rights.",iv,none of the statements,ii and iv,iii and iv,,1
"Which of the following statements is/are correct?
i. Spouses are subject to the provisions governing separation of property, provided they have not agreed otherwise in a marital agreement and provided no extraordinary marital property regime has come into effect.
ii. The principle of the oldest parentel means that only the members of the oldest generation alive are heirs of the deceased person: if the deceased person leaves children as well as parents, the parents are his/her legal heirs.
iii. A contract is void if there is a defect in the conclusion of it.
iv. The constitutional principles of administrative law set out in the Federal constitution only apply with respect to activities of the Swiss confederation. However, they do not apply vis-à-vis the cantons.
v. The values “power” and “not power” constitute the political system’s code according to the sociologist Niklas Luhmann.",iii and v,ii and iii,"i, ii, iv, and v",i and ii,,1
"Justice is regarded as a central purpose of the law. There has been a rich and intensive cross-cultural debate about justice since antiquity. Please indicate whether the following statements about the theory of justice are correct:
i. In the contemporary theory of justice (for example Rawls’ theory), liberty – rather than equality – is the guiding principle.
ii. Since antiquity, justice has been identified with equality.
iii. A central element of the theory of justice of Socrates, Plato and Aristotle is the concept that justice is a matter of insight, not of subjective opinion.
iv. According to the much criticised principle of proportional equality, grading the worst exam with the best score is just.",ii and iii,"i, ii, and iv","ii, iii, and iv",none of the statements,,1
"Which statements are correct?\n\nUnder the so-called 'procedure by formulas', Roman judges…:
i. …were merely assisted by the instructions they received upon appointment, rather than bound by them.
ii. …had to follow a set of instructions that they received from the magistrate that appointed them.
iii. …had the capacity to decide about the law, not merely about the facts.
iv. …were in a position similar to that of modern day jurors.
v. …had a wide margin of discretion to decide their verdict simply on the basis of what is equitable and fair.","i, ii, iii, and v",ii and iv,ii and iii,i and v,,2
"Which of the following statements is/are correct?
i. The validity of ownership transfer by means of possession depends on the validity of the underlying contract.
ii. If there is a sufficient legal basis for state action, this action is, without further ado, always proportionate.
iii. A marital agreement may be concluded before or after the wedding.
iv. When diverging interpretations of a contract of both parties are equally admissible, there is no consent but rather dissent and therefore no contract has ever come to legal existence. Swiss contract law is governed by different principles.
v. The treasure found on alien property had to be divided in halves between finder and landowner according to the opinion of the Roman legal experts, who found this to be the most equitable solution.",iii and iv,iv and v,"i, ii, and v","i, iii, and iv",,4
"Which of the following statements is/are correct?
i. If a party successfully concretely/indirectly challenges legislation, the administrative decision as well as the underlying legal provision are annulled.
ii. Under the statutory marital property regime of participation in acquired property, by operation of law a spouse’s individual property does not comprise inherited property.
iii. According to the principle of good faith, the interpretation of a contract is based on normative consensus, therefore has to be interpreted objectively.",iii,i and iii,"i, ii, and iii",ii and iii,,1
