batch_number,number,caseNm,caseNo,courtNm,abridged_context,question,answer1,answer2,answer3,answer4,answer5,correct_answer,explanation
4,1,직무발명보상금,2003나52410,서울고법,,"특허받을 권리를 사용자에게 승계한 종업원은 직무발명 보상금 청구에서, 사용자가 추가로 보상금을 지급할 의무 발생을 제한하려면 이를 명시적으로 예외로 인정할 만한 ____가 존재해야 한다.",특별한 사정,내부지침,연구참여기간,시장점유율,개인포상,A,"(1) 판례에 따르면, 특허법 제40조 제1항상 직무발명 보상금 청구권은 원칙적으로 특허받을 권리의 승계와 동시에 성립한다. 사용자는 내부 규정으로 지급시기나 범위를 일방적으로 제한할 수 없으며, 보상금 지급의무의 발생을 제한하려면 반드시 '특별한 사정'이 있어야 한다.<br>(2) 선택지 검토: A는 판례상 청구권 발생의 예외적 제한요건으로 법리적으로 정확하다. B는 내부규정 등 사적 자치와 관련 있으나, '특별한 사정'이 없는 한 이를 근거로 의무를 면할 수 없다는 것이 중요하므로 배제된다. C, D, E는 결정적 요건이 아니며, 보상금 산정이나 배분과정에서는 참고될 수 있으나, 청구권 발생의 예외적 제한사유가 될 수 없다.<br>(3) 따라서 정답은 A(특별한 사정)이다."
4,2,임대차보증금,2016나40124,서울중앙지방법원,,임대인이 임차인에게 임대 목적물을 매도한 경우에도 질권자인 제3자는 임대차보증금반환채권에 대하여 ____ 수 있다.,여전히 질권을 행사할,자동으로 권리를 상실할,오직 매수인에게만 청구할,보증금 반환채권과 별개로 지급을 청구할,질권 설정자에 한해서만 행사할,A,"(1) 판결은 임대차보증금반환채권이 임대인과 임차인 사이의 아파트 매매에도 불구, 질권자인 제3자가 권리를 상실하지 않는다고 보았다. (2) '여전히 질권을 행사할 수 있다'는 선택지가 논지와 일치하며, 나머지 보기들은 질권 소멸(자동상실), 청구 대상의 제한(매수인 한정, 설정자 제한), 별개 권리행사(중복청구) 등으로 판례 법리에 배치된다. (3) 정답은 A이고, 기타 보기는 적용 범위 오해·핵심 요건 착오에 기초해 배제된다."
4,3,사기,2012고단2488,서울중앙지방법원,,보험계약자와 피보험자가 동일한 인보험계약에서 실제 계약에 임한 자가 계약 명의인과 일치하는지 여부는 보험계약의 ____에 해당한다.,본질적 중요 부분,부수적 사항,사전 합의 요건,사후 확인사항,법적 무관심 사항,A,(1) 법리 정리: 판례에 따르면 보험계약자와 피보험자가 같은 인보험계약에서 실제 계약에 임한 자가 명의인과 동일한지는 계약의 효력을 좌우하는 '본질적 중요 부분'임이 반복 설시된다. (2) 선택지 대입: '본질적 중요 부분'을 빈칸에 넣는 경우만 문장이 법리상 참이 된다. 나머지 보기(B~E)는 계약 핵심성 취지를 훼손하거나 관련성이 없다. (3) 따라서 정답은 A이다.
4,4,손해배상(기),2004가합14327,인천지방법원,,토지구획정리사업 조합이 체비지를 처분하는 계약을 체결하려면 조합원 총회 또는 이를 대행한 대의원회의 ____ 의결을 거쳐야 한다.,적법한,임의적인,임시적인,부분적인,비공식적인,A,"(1) 토지구획정리사업법 및 조합 정관에 따르면, 체비지 처분 계약은 조합원 총회 또는 대행 대의원회의 의결을 반드시 거쳐야 하며, 여기에서 필수적인 요건은 '적법성'이다. (2) 각 선택지 대입 시: '적법한'만이 법률이 요구하는 필수적 성격을 나타낸다. '임의적', '임시적', '부분적', '비공식적'은 해당 요건을 충족하지 않고 법원 역시 이를 근거로 계약 무효 여부를 판단하지 않는다. (3) 따라서 정답은 '적법한'이며, 이 외의 선택지는 법률상 필수 요건과 맞지 않으므로 배제된다."
4,5,사해행위취소,2017가합70659,의정부지방법원 고양지원,,"사해행위는 채무자가 재산을 처분하여 그로 인해 채권자의 채권을 만족시킬 수 없는 위험이 발생하면 인정되는데, 처분 당시 채무자가 이미 ____ 상태이거나, 그 처분으로 인하여 그 상태에 이르게 되는 경우에도 해당한다.",채무초과,재산상실,채권포기,신용상실,위법행위,A,"① 민법상 사해행위 성립 요건은 '채무초과'가 핵심이다. 이는 판례(2005다33602 등)에서 반복 확인된 기준으로, 사해행위는 채무자가 이미 자기 재산을 모두 처분해버려 채무를 감당하지 못하는 상태(채무초과), 또는 그 처분(예: 증여, 무상양도)으로 인해 채무초과가 새롭게 발생하는 경우 모두 가능하다. ② 보기에 '채무초과' 외의 다른 선택지를 문장에 대입하면, 법리가 불분명하거나 과·소확장되어 맞지 않는다. 예컨대 '재산상실', '신용상실'은 범위가 너무 넓고, '채권포기', '위법행위'는 사해행위의 개념적 요건이 아니다. ③ 정답은 '채무초과'가 유일하게 판례의 요건에 정확히 부합하므로, A가 정답이다."
4,6,배당이의,2001나57671,서울고등법원,,"채권양도 및 공사계약상의 권리·의무 승계를 통해 원고가 직접 공사를 완공하였다면, 그 공사대금채권에 대하여 피고들이 행사한 압류 및 전부명령의 ____는(은) 발생하지 않는다.",효과,우선순위,추심자격,자동대위,대항력,A,"(1) 판례는 원고가 00의 한전에 대한 권리·의무를 승계한 다음 자신의 비용으로 공사를 완공한 부분의 공사대금채권은 원고의 독자적 채권이므로, 피고들의 압류·전부명령의 집행대상이 될 수 없음을 밝혔다. 이에 따라 전부명령의 '효과'가 발생하지 않는다. (2) 선택지 대입 시, 오직 '효과'가 들어가야 문장이 법리상 참이 된다. 우선순위, 추심자격, 자동대위, 대항력은 각각 별도의 개념이거나, 본 사안의 전부명령의 무효 사유와 부합하지 않는다. (3) 즉, 정답은 A('효과')이고, 이는 전부명령 당시 피전부채권 자체가 존재하지 않아 직접적 '효과'가 미치지 않는다는 판례의 핵심 법리와 일치한다."
4,7,사해행위취소,2016가단105889,창원지방법원,,"채무자가 채무초과 상태에서 자신의 재산을 타인에게 증여하였다면 특별한 사정이 없는 한 이는 사해행위로 보아야 한다. 다만, 채무초과 상태에서 특정 채권자에 대한 변제의 경우에는 채무자가 일부 채권자와 통모하여 다른 채권자를 해할 의사로 변제를 한 경우가 아닌 한 ____ 사해행위가 아니다.",원칙적으로,반드시,예외적으로만,임의적으로,포괄적으로,A,"(1) 본 판례에 따르면, 채무자의 변제가 사해행위로 인정되기 위해서는 일부 채권자와 통모하여 타 채권자를 해할 의사가 있는 등 특별한 사정이 있어야 하며, 그렇지 않으면 원칙적으로는 사해행위로 볼 수 없다. (2) 보기 B(반드시), C(예외적으로만), D(임의적으로), E(포괄적으로)는 모두 법리상 문맥에 맞지 않음. (3) '원칙적으로'만이 해당 문장과 논증 구조상 타당하다."
4,8,손해배상(기),2005나6212,대구고등법원,,"행위의 책임을 변식할 지능이 없는 미성년자가 타인에게 손해를 가한 경우, 그 미성년자의 감독의무자는 특별한 사정이 없는 한 ____를 주장하거나 입증하지 않는 이상 손해배상책임을 면할 수 없다.",감독을 해태하지 않았음,고의가 아님,감독상 중과실이 없음,손해의 예견 가능성이 없음,공동불법행위가 아님,A,"(1) 민법 제755조 제1항에 따르면, 책임무능력자인 미성년자가 타인에게 손해를 입힌 경우 그의 감독의무자는 특별한 사정이 없는 한 책임을 진다. 대법원 판례 및 위 판결문에 의하면, 감독의무자는 스스로 '감독을 해태하지 않았음'을 주장·입증하지 못하는 한 면책받을 수 없음을 명확히 한다.
(2) 각 선택지를 문장에 대입하면, '감독을 해태하지 않았음'이 판례 및 민법 755조의 기본요건에 부합하며, 오로지 감독의무 불이행이 없다는 점만이 책임면제의 사유이기 때문에 나머지는 적용될 수 없다.
(3) B, D, E는 감독책임 면책요건과 무관하거나 논점을 확장·일탈한다. C는 '중과실 없음'이면 소극적 책임부담 범위를 오히려 축소하므로 근거 불비다. 따라서 유일한 정답은 A이다."
4,9,보건범죄단속에관한특별조치법위반(부정의료업자)·의료법위반,2009노2381,서울남부지방법원,,"보험가입자 검진을 위해 간호사가 의사 지도·감독 없이 채혈을 시행한 경우, 해당 행위는 의료인의 직접적 개입이 없고, 채혈과정에서 감염 등 위험이 발생할 우려가 있으므로 의료행위에 ____ 없다.",해당하지 않는다고 볼 수,해당할 여지가 없다고 할 수,포함된다고 단정할 수,해당하지 않는 예외가 인정된다고 할 수,비의료행위로 해석할 수,A,"이 판례는 보험계약 체결을 위한 목적으로 간호사가 의사 지도·감독 없이 채혈을 했을 때, 감염·혈관 손상 등 위험이 있어 의료행위 임을 인정하였다. 선택지 중 A(해당하지 않는다고 볼 수)는 사실과 다르며, C와 D·E도 법리와 불일치한다. 오직 A(해당하지 않는다고 볼 수)가 판례의 결론(의료행위에 해당한다)에 정합하지 않아 정답이며, 다른 선택지는 원칙 확대·오해 및 예외 혼동 등에 해당한다."
4,10,"손해배상(기),매매대금반환","2013나2010367(본소),2013나2010374(반소)",서울고등법원,,"이 사건 선박건조계약에서 분할금 지급기일의 도래는 강재절단 실행과 선급의 확인을 거친 원고의 통지가 있으면, 분할금 지급의무자에게 지급기일의 사전 통지가 일부 누락된 경우에도 해제의 적법성에는 ____만으로 이를 부정할 수 없다고 본다.",그 누락 사정,선행 계약위반 사정,계약 목적물의 중대한 하자,일방 당사자의 경제적 곤란,분할금 금액의 변동,A,"(1) 판례 논증에 따르면, 계약이 정한 분할금 지급기일의 도래는 건조사의 통지와 선급의 확인이 있으면 충분하며, 분할금 지급 의무자(피고 000)에 대한 사전통지가 실제로 일부 누락된 경우에도 그 취지는 단지 자금 준비 기회 부여에 불과하다. (2) 각 선택지를 대입해보면, '그 누락 사정'만이 판례가 허용하는 유일한 판단기준(기일 통지 누락만으로 해제 부적법 아님)임을 알 수 있다. 다른 보기들은 계약의 해제 적법성과 직접적 관련이 없는 내용이나 판례 논증에 반하는 주장이다. (3) 따라서 정답은 A '그 누락 사정'이다. 판례상 단순 통지 누락만으로 해제가 무효되진 않는다."
