question,answer1,answer2,answer3,answer4,answer5,solution
"Z 리조트에서 풋살 경기장 주변에 강철 재질의 펜스를 설치하면서, 펜스 하단은 지면에서 약 30cm 띄워 놓았으며, 펜스 자체는 경기장 밖으로 공이 나가는 것을 막기 위함이었다. 이용객 X가 경기 중 넘어져 펜스 하단에 다리를 심하게 부딪쳐 골절상을 입자, X는 리조트에 공작물의 설치, 보존상 하자를 이유로 손해배상을 청구하였다. Z 리조트는 관련 법령에서 펜스 하단을 지면과 일정 간격을 두도록 정하고 있고, 이로 인한 안전상 이점도 있다는 점을 입증하였다. 이 경우 법적으로 타당한 판단은?","Z 리조트에 펜스 설치, 보존상 하자가 있다고 볼 수 없다.",Z 리조트는 X가 어떠한 사고를 당하지 않도록 모든 예방조치를 취했어야 하므로 손해배상책임을 부담한다.,"X가 펜스에 부딪쳐 다쳤으므로, 펜스 설치 자체만으로 하자가 인정된다.","공작물의 설치 기준에 관한 법령을 모두 준수했더라도, 사고가 발생하면 무조건 하자가 있다.",Z 리조트는 펜스 하단을 지면에 완전히 밀착시켜야만 책임을 면할 수 있다.,A
"부동산을 담보로 신탁계약을 체결한 후, 신탁목적물의 관리·처분 과정에서 우선수익자가 지정되어 신탁이 이루어진 경우, 신탁재산 처분에 따른 부가가치세 납세의무자에 관한 판단으로 옳은 것은?",우선수익권이 미치는 범위 내에서는 수익자가 해당 신탁재산 처분으로 인한 부가가치세 납세의무자가 된다.,신탁계약에서 수익자가 지정되어 있더라도 위탁자가 항상 부가가치세 납세의무자가 된다.,수탁자가 신탁재산을 처분하는 경우에는 수탁자가 부가가치세 납세의무자가 된다.,"수익자, 위탁자, 수탁자 중 누구도 부가가치세 납세의무자가 될 수 없다.",신탁의 형태와 무관하게 신탁계약 당시 소유자였던 자가 반드시 부가가치세 납세의무자가 된다.,A
"X가 Y회사의 자동차를 할부로 구입하기로 하고, Y회사 지점의 직원 Z가 지정한 자신의 계좌로 할부금융사로부터 대금 전액을 받은 뒤, 그 대금을 회사에 입금하지 않고 임의로 사용하여 Y회사가 차량 인도를 거절한 경우, X가 차량 인도가 이루어지지 않았다는 이유로 할부금 지급을 거부할 수 있는지 판단하시오.",X는 할부거래법이 정한 바에 따라 지급하지 않은 나머지 할부금에 대해 지급을 거절할 수 있다.,X가 할부대금을 전액 직원 Z의 계좌로 송금하지 않았으므로 지급거절권을 행사할 수 없다.,Y회사가 차량 인도를 거부하였더라도 할부금 지급을 계속해야 한다.,X는 이미 지급한 할부금까지 모두 반환을 청구할 수 있다.,할부금융사가 Y회사에 직접 대금을 송금하지 않은 경우 지급거절권은 제한된다.,A
"독일 기업 A가 일본 기업 B로부터 채권을 양수받았다. B는 일본에서 파산절차가 진행 중이며, 그에 따라 일본 내에서는 해당 채권의 개별적 권리행사가 금지된다. 이 때 A는 자신이 소재한 한국 법원에 B를 상대로 양수받은 채권의 지급을 청구했다. 우리 법원이 국제재판관할권을 가지는지는 쟁점이 없다고 할 때, 일본 파산절차에서의 채권행사 제한이 한국에서의 소송에 어떤 영향을 미치는가?",한국 법원에서 진행하는 소송에는 일본 파산절차로 인한 권리행사 제한의 효력이 미치지 않는다.,일본 파산절차에서 금지된 권리행사는 국제적 신의성실 원칙상 한국에서도 허용되지 않는다.,A는 일본 파산절차에 따라 이미 권리행사가 금지되었으므로 한국 법원에 제소할 법적 이익이 없다.,한국 법원도 일본법의 절차적 제약을 존중하여 소를 각하해야 한다.,"양수 시점에서 이미 일본 파산계획상 권리변경이 예정되어 있었으므로, 한국 내 별도의 권리행사는 무효가 된다.",A
"스마트폰 제조업체 X는 잠금 기능이 설정된 스마트폰에 대해, 이용자 본인이 신원을 확실히 증명하거나 등록 이메일을 통해 소유자임을 입증한 경우에 한해 잠금해제를 해주는 정책을 운영한다. Y가 오랜 기간 이 스마트폰을 소지하고 있었으나, 구입 내역을 명확히 입증하지 못한 채 X에게 잠금해제를 요구하였다. X의 의무에 대한 법적 판단으로 옳은 것은?",X는 Y가 소유자임이 충분히 입증되지 않은 이상 잠금해제를 거부할 수 있다.,X는 Y가 기기를 장기간 소지해왔으므로 잠금해제를 해주어야 한다.,X는 Y가 단순히 사용자임을 주장하면 별도의 확인 없이 잠금해제를 해주어야 한다.,X는 제조업체이므로 기기 결함 여부와 상관없이 잠금해제를 해주어야 한다.,X는 Y가 비밀번호를 잊었으니 일정기간 소지 후엔 잠금해제를 해주어야 한다.,A
"회사자산을 회수하여 자신의 명의로 등기하고 회사의 이익을 위해 해당 자산을 보관하던 갑이, 회사의 동의 없이 그 자산에 대해 제3자를 위하여 근저당권을 설정한 경우, 갑의 행위에 대한 법적 책임은?",갑은 회사의 신임관계를 저버리고 자산을 임의로 처분했으므로 횡령죄에 해당한다.,회사에 실질적 손해가 발생하지 않았다면 갑은 횡령죄로 처벌받지 않는다.,갑이 자산을 보관하던 중 임의처분권이 있다고 믿었으므로 범죄가 성립하지 않는다.,갑이 명의수탁자로 등록된 이상 일체의 처분행위는 민사적 책임에 그친다.,갑이 회사 직원으로 자산 회수업무를 담당했다면 별도의 형사책임은 발생하지 않는다.,A
"갑은 을과 부동산 매매계약을 체결하고 건물대금과 그에 대한 부가가치세를 모두 납부하였다. 이후 을은 해당 부가가치세를 환급받았고, 갑은 별도의 반환 약정이 없지만 을이 환급받은 부가가치세를 자신에게 돌려주어야 한다고 주장한다. 을의 반환의무에 대한 법적 판단으로 옳은 것은?","반환 약정이 없으므로, 을은 갑에게 부가가치세를 반환할 의무가 없다.",부동산 매매계약만으로도 을은 갑에게 환급받은 부가가치세를 반환해야 한다.,갑이 부당이득 반환을 청구하면 을은 환급받은 부가가치세를 지급해야 한다.,을이 부가가치세를 환급받았으므로 법적으로 당연히 반환의무가 있다.,계약 당사자 사이에 어떠한 합의가 없더라도 갑은 환급액 일부를 받을 수 있다.,A
"성인게임장이 게임기 이용자에게 게임 결과에 따라 상품권을 경품으로 지급하였다. 이때, 사업자는 게임 플레이에 사용된 금액 중 상품권의 액면가액에 해당하는 금액을 부가가치세 과세표준에서 공제할 수 있는가?","상품권의 액면가액은 공급가액에서 공제할 수 없으며, 과세표준 산정시 전액이 포함되어야 한다.",상품권이 현금과 동일하게 기능하므로 액면가액을 공급가액에서 공제할 수 있다.,상품권이 장려금의 일종이므로 과세표준에서 공제해야 한다.,"상품권 지급에 대한 매입세액만 공제 가능하며, 공급가액에서 상품권 금액은 별도 공제할 수 없다.",상품권을 부가가치세가 면제된 재화로 보아 전적으로 과세표준 산정에서 제외된다.,A
"C씨는 자택 옆에 신축된 7층짜리 오피스텔로 인해 거실에 햇빛이 전혀 들어오지 않고 식물도 키우기 어려울 정도라고 주장한다. 반면 D사는 해당 건물의 높이와 이격거리를 모두 건축법 기준에 맞게 시공했고, 인근도 도심의 고밀도 주거지임을 내세운다. C씨가 일조권 침해로 손해배상을 받을 수 있는지 판단하시오.","D사가 건축법상 이격거리와 높이 기준을 준수하더라도, 일조권 침해가 사회통념상 수인한도를 넘는 경우 손해배상 책임이 인정될 수 있다.",건축법을 준수했다면 일조권 침해 주장은 어떠한 사정이 있어도 받아들여지지 않는다.,인근 지역이 고밀도 주거지이므로 일조권 침해의 기준은 완화되어 항상 배상책임이 부정된다.,일조권이 건축법에 명시되어 있지 않으므로 민법상 불법행위 책임도 성립하지 않는다.,C씨가 집 앞에 화분을 많이 배치해 스스로 햇빛을 일부 차단했다면 일조권 침해가 성립하지 않는다.,A
"F씨의 별장은 유명 호수와 산을 바라볼 수 있는 지대에 지어졌으며, 주된 매입 목적도 전경을 감상하기 위해서였다. 그런데 이웃 G가 대형 숙박시설을 신축하여 F씨 집 앞 경치를 거의 가로막았다. 이때 F씨의 조망이익이 법적으로 보호되는지 판단하시오.",F씨의 조망이익이 사회 통념상 독자적인 이익으로 승인될 만큼 중요성이 인정되는 경우에 한해 법적 보호를 받을 수 있다.,조망이익은 주택이든 휴양시설이든 항상 법적으로 보호된다.,경치가 조금만 가려져도 조망권 침해로 손해배상이 인정된다.,호수나 산 경관은 공공재이므로 조망이익은 보장되지 않는다.,이웃 부지에서 숙박시설을 짓는 경우엔 예외적으로 조망이익이 인정되지 않는다.,A
